주기,첫시간A,하루RHE,9~14시간째비중,첫시간A_p10,첫시간A_p90,하루RHE_p10,하루RHE_p90
1,78.7,9.94,0.376,72.0,85.1,8.42,10.62
2,76.0,9.51,0.373,66.6,82.9,7.76,10.31
3,76.6,9.58,0.373,67.0,83.3,7.75,10.36
4,77.0,9.64,0.373,67.3,83.9,7.79,10.42
5,77.2,9.68,0.374,67.3,84.0,7.81,10.48
6,77.3,9.71,0.375,67.4,84.1,7.82,10.52
7,77.4,9.73,0.375,67.6,84.3,7.83,10.55
8,77.4,9.74,0.376,67.5,84.3,7.84,10.56
9,77.4,9.75,0.376,67.5,84.3,7.85,10.57
10,77.4,9.76,0.376,67.4,84.3,7.86,10.57
11,77.4,9.76,0.376,67.5,84.4,7.87,10.58
12,77.4,9.76,0.377,67.5,84.4,7.87,10.58
13,77.4,9.77,0.377,67.6,84.4,7.88,10.58
14,77.4,9.77,0.377,67.6,84.4,7.88,10.58
15,77.4,9.77,0.377,67.6,84.4,7.88,10.58
16,77.4,9.77,0.377,67.6,84.4,7.89,10.58
17,77.4,9.77,0.377,67.6,84.4,7.89,10.58
18,77.4,9.77,0.377,67.6,84.4,7.89,10.58
19,77.4,9.77,0.377,67.6,84.4,7.89,10.58
20,77.4,9.77,0.377,67.6,84.4,7.89,10.58
21,77.4,9.77,0.377,67.6,84.4,7.89,10.58
22,77.4,9.77,0.377,67.6,84.4,7.89,10.58
23,77.4,9.77,0.377,67.6,84.4,7.89,10.58
24,77.4,9.77,0.377,67.6,84.4,7.89,10.59
25,77.4,9.77,0.377,67.6,84.4,7.89,10.59
26,77.4,9.77,0.377,67.6,84.4,7.89,10.59
