### 입력 1
d (A/B 환산): A=0 B=0 C=0 D=+1 E=-1 F=0
| 설정 | 가중치 A/B/C/D/E/F | 확정 항 합 | S 범위 | 결과 |
|---|---|---|---|---|
| 기본 가중치 | 0.200/0.200/0.200/0.200/0.100/0.100 | +0.100 | +0.100 | A 쪽 |
| 균등 가중치 | 0.167/0.167/0.167/0.167/0.167/0.167 | +0.000 | +0.000 | 동률 |
| 축 A 제거 | 0.000/0.250/0.250/0.250/0.125/0.125 | +0.125 | +0.125 | A 쪽 |
| 축 B 제거 | 0.250/0.000/0.250/0.250/0.125/0.125 | +0.125 | +0.125 | A 쪽 |
| 축 C 제거 | 0.250/0.250/0.000/0.250/0.125/0.125 | +0.125 | +0.125 | A 쪽 |
| 축 D 제거 | 0.250/0.250/0.250/0.000/0.125/0.125 | -0.125 | -0.125 | B 쪽 |
| 축 E 제거 | 0.222/0.222/0.222/0.222/0.000/0.111 | +0.222 | +0.222 | A 쪽 |
| 축 F 제거 | 0.222/0.222/0.222/0.222/0.111/0.000 | +0.111 | +0.111 | A 쪽 |
| 축 A 40% | 0.400/0.150/0.150/0.150/0.075/0.075 | +0.075 | +0.075 | A 쪽 |
| 축 B 40% | 0.150/0.400/0.150/0.150/0.075/0.075 | +0.075 | +0.075 | A 쪽 |
| 축 C 40% | 0.150/0.150/0.400/0.150/0.075/0.075 | +0.075 | +0.075 | A 쪽 |
| 축 D 40% | 0.150/0.150/0.150/0.400/0.075/0.075 | +0.325 | +0.325 | A 쪽 |
| 축 E 40% | 0.133/0.133/0.133/0.133/0.400/0.067 | -0.267 | -0.267 | B 쪽 |
| 축 F 40% | 0.133/0.133/0.133/0.133/0.067/0.400 | +0.067 | +0.067 | A 쪽 |

### 입력 2
d (A/B 환산): A=0 B=+1 C=-1 D=+1 E=0 F=0
| 설정 | 가중치 A/B/C/D/E/F | 확정 항 합 | S 범위 | 결과 |
|---|---|---|---|---|
| 기본 가중치 | 0.200/0.200/0.200/0.200/0.100/0.100 | +0.200 | +0.200 | A 쪽 |
| 균등 가중치 | 0.167/0.167/0.167/0.167/0.167/0.167 | +0.167 | +0.167 | A 쪽 |
| 축 A 제거 | 0.000/0.250/0.250/0.250/0.125/0.125 | +0.250 | +0.250 | A 쪽 |
| 축 B 제거 | 0.250/0.000/0.250/0.250/0.125/0.125 | +0.000 | +0.000 | 동률 |
| 축 C 제거 | 0.250/0.250/0.000/0.250/0.125/0.125 | +0.500 | +0.500 | A 쪽 |
| 축 D 제거 | 0.250/0.250/0.250/0.000/0.125/0.125 | +0.000 | +0.000 | 동률 |
| 축 E 제거 | 0.222/0.222/0.222/0.222/0.000/0.111 | +0.222 | +0.222 | A 쪽 |
| 축 F 제거 | 0.222/0.222/0.222/0.222/0.111/0.000 | +0.222 | +0.222 | A 쪽 |
| 축 A 40% | 0.400/0.150/0.150/0.150/0.075/0.075 | +0.150 | +0.150 | A 쪽 |
| 축 B 40% | 0.150/0.400/0.150/0.150/0.075/0.075 | +0.400 | +0.400 | A 쪽 |
| 축 C 40% | 0.150/0.150/0.400/0.150/0.075/0.075 | -0.100 | -0.100 | B 쪽 |
| 축 D 40% | 0.150/0.150/0.150/0.400/0.075/0.075 | +0.400 | +0.400 | A 쪽 |
| 축 E 40% | 0.133/0.133/0.133/0.133/0.400/0.067 | +0.133 | +0.133 | A 쪽 |
| 축 F 40% | 0.133/0.133/0.133/0.133/0.067/0.400 | +0.133 | +0.133 | A 쪽 |

### 입력 3
d (A/B 환산): A=-1 B=+1 C=-1 D=+1 E=-1 F=0
| 설정 | 가중치 A/B/C/D/E/F | 확정 항 합 | S 범위 | 결과 |
|---|---|---|---|---|
| 기본 가중치 | 0.200/0.200/0.200/0.200/0.100/0.100 | -0.100 | -0.100 | B 쪽 |
| 균등 가중치 | 0.167/0.167/0.167/0.167/0.167/0.167 | -0.167 | -0.167 | B 쪽 |
| 축 A 제거 | 0.000/0.250/0.250/0.250/0.125/0.125 | +0.125 | +0.125 | A 쪽 |
| 축 B 제거 | 0.250/0.000/0.250/0.250/0.125/0.125 | -0.375 | -0.375 | B 쪽 |
| 축 C 제거 | 0.250/0.250/0.000/0.250/0.125/0.125 | +0.125 | +0.125 | A 쪽 |
| 축 D 제거 | 0.250/0.250/0.250/0.000/0.125/0.125 | -0.375 | -0.375 | B 쪽 |
| 축 E 제거 | 0.222/0.222/0.222/0.222/0.000/0.111 | +0.000 | +0.000 | 동률 |
| 축 F 제거 | 0.222/0.222/0.222/0.222/0.111/0.000 | -0.111 | -0.111 | B 쪽 |
| 축 A 40% | 0.400/0.150/0.150/0.150/0.075/0.075 | -0.325 | -0.325 | B 쪽 |
| 축 B 40% | 0.150/0.400/0.150/0.150/0.075/0.075 | +0.175 | +0.175 | A 쪽 |
| 축 C 40% | 0.150/0.150/0.400/0.150/0.075/0.075 | -0.325 | -0.325 | B 쪽 |
| 축 D 40% | 0.150/0.150/0.150/0.400/0.075/0.075 | +0.175 | +0.175 | A 쪽 |
| 축 E 40% | 0.133/0.133/0.133/0.133/0.400/0.067 | -0.400 | -0.400 | B 쪽 |
| 축 F 40% | 0.133/0.133/0.133/0.133/0.067/0.400 | -0.067 | -0.067 | B 쪽 |

